experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,batching_mode,batching_window,block_length
batching_comparison,batching_comparison,0fd681f9c49c,7,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,fixed_window_observation,0.5,
batching_comparison,batching_comparison,06678a0280dc,7,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,fixed_window_observation,0.5,
batching_comparison,batching_comparison,7232bf090c35,8,,batch_size_mean,3.0457317073170733,packets,exact,complete,,,,fixed_window_observation,1.0,
batching_comparison,batching_comparison,7232bf090c35,8,,memoryless_approximation_error,0.008266837400420397,bits_per_symbol,exact,complete,,,,fixed_window_observation,1.0,
batching_comparison,batching_comparison,15fa31d51a5b,8,,normalized_plugin_block_mutual_information,0.05333275611146512,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,220a905793ce,8,,normalized_plugin_block_mutual_information,0.10148405787658973,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,05777986965e,8,,normalized_plugin_block_mutual_information,0.20633679545417383,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,b1b3eb7b28b5,8,,normalized_plugin_block_mutual_information,0.43024218940595527,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,15fa31d51a5b,8,,plugin_block_mutual_information,0.05333275611146512,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,220a905793ce,8,,plugin_block_mutual_information,0.20296811575317947,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,05777986965e,8,,plugin_block_mutual_information,0.6190103863625215,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,b1b3eb7b28b5,8,,plugin_block_mutual_information,1.720968757623821,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,64c7106588d2,8,,symbol_mutual_information,0.05333275611146512,bits_per_symbol,empirical_stateful,complete,,,,fixed_window_observation,1.0,
batching_comparison,batching_comparison,7232bf090c35,8,,zero_delay_probability,0.6726726726726727,probability,exact,complete,,,,fixed_window_observation,1.0,
batching_comparison,batching_comparison,c57d2a7b9585,9,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,ceiling_release,0.25,
batching_comparison,batching_comparison,c57d2a7b9585,9,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,ceiling_release,0.25,
batching_comparison,batching_comparison,e7f250208d22,9,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,1a8f86ff5b5a,9,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,fec0b89f3609,9,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,854c47f7c0ed,9,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,e7f250208d22,9,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,1a8f86ff5b5a,9,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,fec0b89f3609,9,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,854c47f7c0ed,9,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,492e1f8a4e0c,9,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,ceiling_release,0.25,
batching_comparison,batching_comparison,c57d2a7b9585,9,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,ceiling_release,0.25,
batching_comparison,batching_comparison,7f95412cc242,10,,batch_size_mean,2.67828418230563,packets,exact,complete,,,,ceiling_release,0.5,
batching_comparison,batching_comparison,7f95412cc242,10,,memoryless_approximation_error,0.0,bits_per_symbol,exact,complete,,,,ceiling_release,0.5,
