experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,max_kl_bits,baseline_mode,grid_resolution,symbol_index
detectability_frontier,detectability_frontier,d88e630f5853,6,,optimal_input_probability,0.8887,probability,exact,complete,,,,0.01,input_distribution,,0.0
detectability_frontier,detectability_frontier,d008e8e5f390,6,,optimal_input_probability,0.11129999999999995,probability,exact,complete,,,,0.01,input_distribution,,1.0
detectability_frontier,detectability_frontier,eed14ff6c006,6,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,eed14ff6c006,6,,optimizer_converged,1.0,boolean,exact,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,eed14ff6c006,6,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,f932609ae526,6,,optimizer_grid_difference,0.0001490682731006554,bits_per_symbol,binary_grid_validation,complete,,,,0.01,input_distribution,1001.0,
detectability_frontier,detectability_frontier,eed14ff6c006,6,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.01,input_distribution,,
detectability_frontier,detectability_frontier,9a061b2ba528,7,,achieved_kl_bits,0.019987279919606263,bits,slsqp,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,9a061b2ba528,7,,constrained_capacity_bits_per_symbol,0.08702239301205127,bits_per_symbol,slsqp,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,c8e9ed7231a1,7,,grid_best_capacity,0.08685102387782186,bits_per_symbol,binary_grid_validation,complete,,,,0.02,input_distribution,1001.0,
detectability_frontier,detectability_frontier,9a061b2ba528,7,,mean_delay,0.15639999999999998,normalized_time,slsqp,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,00d9e20225ff,7,,optimal_input_probability,0.8436,probability,exact,complete,,,,0.02,input_distribution,,0.0
detectability_frontier,detectability_frontier,2edf149796e0,7,,optimal_input_probability,0.15639999999999998,probability,exact,complete,,,,0.02,input_distribution,,1.0
detectability_frontier,detectability_frontier,c3e0cb04bb77,7,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,c3e0cb04bb77,7,,optimizer_converged,1.0,boolean,exact,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,c3e0cb04bb77,7,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,c8e9ed7231a1,7,,optimizer_grid_difference,0.00017136913422940991,bits_per_symbol,binary_grid_validation,complete,,,,0.02,input_distribution,1001.0,
detectability_frontier,detectability_frontier,c3e0cb04bb77,7,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.02,input_distribution,,
detectability_frontier,detectability_frontier,a061eaae36f7,8,,achieved_kl_bits,0.04999744322443483,bits,slsqp,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,a061eaae36f7,8,,constrained_capacity_bits_per_symbol,0.12098523071411614,bits_per_symbol,slsqp,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,5d31ef4b6296,8,,grid_best_capacity,0.12098523071411614,bits_per_symbol,binary_grid_validation,complete,,,,0.05,input_distribution,1001.0,
detectability_frontier,detectability_frontier,a061eaae36f7,8,,mean_delay,0.25,normalized_time,slsqp,complete,,,,0.05,input_distribution,,
