work_unit_id,experiment_kind,status,error,replication,batching_mode,batching_window,sweep_index
delay_quantization:1.0:4,batching_comparison,complete,,4,delay_quantization,1.0,87
delay_quantization:1.0:5,batching_comparison,complete,,5,delay_quantization,1.0,107
delay_quantization:1.0:6,batching_comparison,complete,,6,delay_quantization,1.0,127
delay_quantization:1.0:7,batching_comparison,complete,,7,delay_quantization,1.0,147
delay_quantization:1.0:8,batching_comparison,complete,,8,delay_quantization,1.0,167
delay_quantization:1.0:9,batching_comparison,complete,,9,delay_quantization,1.0,187
fixed_window_observation:0.25:0,batching_comparison,complete,,0,fixed_window_observation,0.25,12
fixed_window_observation:0.25:1,batching_comparison,complete,,1,fixed_window_observation,0.25,32
fixed_window_observation:0.25:2,batching_comparison,complete,,2,fixed_window_observation,0.25,52
fixed_window_observation:0.25:3,batching_comparison,complete,,3,fixed_window_observation,0.25,72
fixed_window_observation:0.25:4,batching_comparison,complete,,4,fixed_window_observation,0.25,92
fixed_window_observation:0.25:5,batching_comparison,complete,,5,fixed_window_observation,0.25,112
fixed_window_observation:0.25:6,batching_comparison,complete,,6,fixed_window_observation,0.25,132
fixed_window_observation:0.25:7,batching_comparison,complete,,7,fixed_window_observation,0.25,152
fixed_window_observation:0.25:8,batching_comparison,complete,,8,fixed_window_observation,0.25,172
fixed_window_observation:0.25:9,batching_comparison,complete,,9,fixed_window_observation,0.25,192
fixed_window_observation:0.5:0,batching_comparison,complete,,0,fixed_window_observation,0.5,13
fixed_window_observation:0.5:1,batching_comparison,complete,,1,fixed_window_observation,0.5,33
fixed_window_observation:0.5:2,batching_comparison,complete,,2,fixed_window_observation,0.5,53
fixed_window_observation:0.5:3,batching_comparison,complete,,3,fixed_window_observation,0.5,73
fixed_window_observation:0.5:4,batching_comparison,complete,,4,fixed_window_observation,0.5,93
fixed_window_observation:0.5:5,batching_comparison,complete,,5,fixed_window_observation,0.5,113
fixed_window_observation:0.5:6,batching_comparison,complete,,6,fixed_window_observation,0.5,133
fixed_window_observation:0.5:7,batching_comparison,complete,,7,fixed_window_observation,0.5,153
fixed_window_observation:0.5:8,batching_comparison,complete,,8,fixed_window_observation,0.5,173
fixed_window_observation:0.5:9,batching_comparison,complete,,9,fixed_window_observation,0.5,193
fixed_window_observation:0.75:0,batching_comparison,complete,,0,fixed_window_observation,0.75,14
fixed_window_observation:0.75:1,batching_comparison,complete,,1,fixed_window_observation,0.75,34
fixed_window_observation:0.75:2,batching_comparison,complete,,2,fixed_window_observation,0.75,54
fixed_window_observation:0.75:3,batching_comparison,complete,,3,fixed_window_observation,0.75,74
fixed_window_observation:0.75:4,batching_comparison,complete,,4,fixed_window_observation,0.75,94
fixed_window_observation:0.75:5,batching_comparison,complete,,5,fixed_window_observation,0.75,114
fixed_window_observation:0.75:6,batching_comparison,complete,,6,fixed_window_observation,0.75,134
fixed_window_observation:0.75:7,batching_comparison,complete,,7,fixed_window_observation,0.75,154
fixed_window_observation:0.75:8,batching_comparison,complete,,8,fixed_window_observation,0.75,174
fixed_window_observation:0.75:9,batching_comparison,complete,,9,fixed_window_observation,0.75,194
fixed_window_observation:1.0:0,batching_comparison,complete,,0,fixed_window_observation,1.0,15
fixed_window_observation:1.0:1,batching_comparison,complete,,1,fixed_window_observation,1.0,35
fixed_window_observation:1.0:2,batching_comparison,complete,,2,fixed_window_observation,1.0,55
fixed_window_observation:1.0:3,batching_comparison,complete,,3,fixed_window_observation,1.0,75
fixed_window_observation:1.0:4,batching_comparison,complete,,4,fixed_window_observation,1.0,95
fixed_window_observation:1.0:5,batching_comparison,complete,,5,fixed_window_observation,1.0,115
fixed_window_observation:1.0:6,batching_comparison,complete,,6,fixed_window_observation,1.0,135
fixed_window_observation:1.0:7,batching_comparison,complete,,7,fixed_window_observation,1.0,155
fixed_window_observation:1.0:8,batching_comparison,complete,,8,fixed_window_observation,1.0,175
fixed_window_observation:1.0:9,batching_comparison,complete,,9,fixed_window_observation,1.0,195
ideal_delays:0.25:0,batching_comparison,complete,,0,ideal_delays,0.25,0
ideal_delays:0.25:1,batching_comparison,complete,,1,ideal_delays,0.25,20
ideal_delays:0.25:2,batching_comparison,complete,,2,ideal_delays,0.25,40
ideal_delays:0.25:3,batching_comparison,complete,,3,ideal_delays,0.25,60
ideal_delays:0.25:4,batching_comparison,complete,,4,ideal_delays,0.25,80
ideal_delays:0.25:5,batching_comparison,complete,,5,ideal_delays,0.25,100
ideal_delays:0.25:6,batching_comparison,complete,,6,ideal_delays,0.25,120
ideal_delays:0.25:7,batching_comparison,complete,,7,ideal_delays,0.25,140
ideal_delays:0.25:8,batching_comparison,complete,,8,ideal_delays,0.25,160
ideal_delays:0.25:9,batching_comparison,complete,,9,ideal_delays,0.25,180
