false_positive_rate,true_positive_rate,hypothesis_pair
0.0002,0.0858,active_vs_baseline
0.0002,0.086,active_vs_baseline
0.0002,0.0862,active_vs_baseline
0.0002,0.0864,active_vs_baseline
0.0002,0.0866,active_vs_baseline
0.0002,0.0868,active_vs_baseline
0.0002,0.087,active_vs_baseline
0.0002,0.0872,active_vs_baseline
0.0002,0.0874,active_vs_baseline
0.0002,0.0876,active_vs_baseline
0.0002,0.088,active_vs_baseline
0.0002,0.0882,active_vs_baseline
0.0002,0.0884,active_vs_baseline
0.0002,0.0886,active_vs_baseline
0.0002,0.0888,active_vs_baseline
0.0002,0.089,active_vs_baseline
0.0002,0.0892,active_vs_baseline
0.0002,0.0894,active_vs_baseline
0.0002,0.0896,active_vs_baseline
0.0002,0.0898,active_vs_baseline
0.0002,0.09,active_vs_baseline
0.0002,0.0902,active_vs_baseline
0.0002,0.0904,active_vs_baseline
0.0002,0.0906,active_vs_baseline
0.0002,0.0908,active_vs_baseline
0.0002,0.091,active_vs_baseline
0.0002,0.0912,active_vs_baseline
0.0002,0.0914,active_vs_baseline
0.0002,0.0916,active_vs_baseline
0.0002,0.0918,active_vs_baseline
0.0002,0.092,active_vs_baseline
0.0002,0.0922,active_vs_baseline
0.0002,0.0924,active_vs_baseline
0.0002,0.0926,active_vs_baseline
0.0002,0.0928,active_vs_baseline
0.0002,0.093,active_vs_baseline
0.0002,0.0932,active_vs_baseline
0.0002,0.0934,active_vs_baseline
0.0002,0.0936,active_vs_baseline
0.0002,0.0938,active_vs_baseline
0.0002,0.094,active_vs_baseline
0.0002,0.0942,active_vs_baseline
0.0002,0.0944,active_vs_baseline
0.0002,0.0946,active_vs_baseline
0.0002,0.0948,active_vs_baseline
0.0002,0.095,active_vs_baseline
0.0002,0.0952,active_vs_baseline
0.0002,0.0954,active_vs_baseline
0.0002,0.0956,active_vs_baseline
0.0002,0.0958,active_vs_baseline
0.0002,0.096,active_vs_baseline
0.0002,0.0962,active_vs_baseline
0.0002,0.0968,active_vs_baseline
0.0002,0.097,active_vs_baseline
0.0002,0.0972,active_vs_baseline
0.0002,0.0974,active_vs_baseline
0.0002,0.0976,active_vs_baseline
0.0002,0.0978,active_vs_baseline
0.0002,0.098,active_vs_baseline
0.0002,0.0982,active_vs_baseline
0.0002,0.0984,active_vs_baseline
0.0002,0.0986,active_vs_baseline
0.0002,0.0988,active_vs_baseline
0.0002,0.099,active_vs_baseline
0.0002,0.0992,active_vs_baseline
0.0002,0.0996,active_vs_baseline
0.0002,0.0998,active_vs_baseline
0.0002,0.1,active_vs_baseline
0.0002,0.1002,active_vs_baseline
0.0002,0.1004,active_vs_baseline
0.0002,0.1012,active_vs_baseline
0.0002,0.1014,active_vs_baseline
0.0002,0.1016,active_vs_baseline
0.0002,0.1018,active_vs_baseline
0.0002,0.102,active_vs_baseline
0.0002,0.1022,active_vs_baseline
0.0002,0.1024,active_vs_baseline
0.0002,0.1026,active_vs_baseline
0.0002,0.1028,active_vs_baseline
0.0002,0.103,active_vs_baseline
0.0002,0.1032,active_vs_baseline
0.0002,0.1036,active_vs_baseline
0.0002,0.1038,active_vs_baseline
0.0002,0.104,active_vs_baseline
0.0002,0.1042,active_vs_baseline
0.0002,0.1044,active_vs_baseline
0.0002,0.1046,active_vs_baseline
0.0002,0.1048,active_vs_baseline
0.0002,0.1052,active_vs_baseline
0.0002,0.1054,active_vs_baseline
0.0002,0.1056,active_vs_baseline
0.0002,0.1062,active_vs_baseline
0.0002,0.1066,active_vs_baseline
0.0002,0.1068,active_vs_baseline
0.0002,0.107,active_vs_baseline
0.0002,0.1072,active_vs_baseline
0.0002,0.1074,active_vs_baseline
0.0002,0.1076,active_vs_baseline
0.0002,0.1078,active_vs_baseline
0.0002,0.108,active_vs_baseline
