false_positive_rate,true_positive_rate,hypothesis_pair
0.016,0.6,active_vs_baseline
0.016,0.602,active_vs_baseline
0.016,0.604,active_vs_baseline
0.016,0.606,active_vs_baseline
0.016,0.608,active_vs_baseline
0.016,0.61,active_vs_baseline
0.016,0.612,active_vs_baseline
0.016,0.614,active_vs_baseline
0.016,0.616,active_vs_baseline
0.016,0.618,active_vs_baseline
0.016,0.62,active_vs_baseline
0.016,0.622,active_vs_baseline
0.016,0.624,active_vs_baseline
0.018,0.624,active_vs_baseline
0.018,0.626,active_vs_baseline
0.018,0.628,active_vs_baseline
0.018,0.63,active_vs_baseline
0.018,0.632,active_vs_baseline
0.02,0.632,active_vs_baseline
0.02,0.634,active_vs_baseline
0.02,0.636,active_vs_baseline
0.02,0.638,active_vs_baseline
0.02,0.64,active_vs_baseline
0.02,0.642,active_vs_baseline
0.02,0.644,active_vs_baseline
0.02,0.646,active_vs_baseline
0.02,0.648,active_vs_baseline
0.02,0.65,active_vs_baseline
0.02,0.652,active_vs_baseline
0.02,0.654,active_vs_baseline
0.02,0.656,active_vs_baseline
0.02,0.658,active_vs_baseline
0.02,0.66,active_vs_baseline
0.02,0.662,active_vs_baseline
0.02,0.664,active_vs_baseline
0.02,0.666,active_vs_baseline
0.02,0.668,active_vs_baseline
0.02,0.67,active_vs_baseline
0.022,0.67,active_vs_baseline
0.022,0.672,active_vs_baseline
0.022,0.674,active_vs_baseline
0.022,0.676,active_vs_baseline
0.022,0.678,active_vs_baseline
0.022,0.68,active_vs_baseline
0.022,0.682,active_vs_baseline
0.022,0.684,active_vs_baseline
0.022,0.686,active_vs_baseline
0.022,0.688,active_vs_baseline
0.022,0.69,active_vs_baseline
0.022,0.692,active_vs_baseline
0.022,0.694,active_vs_baseline
0.022,0.696,active_vs_baseline
0.022,0.698,active_vs_baseline
0.022,0.7,active_vs_baseline
0.022,0.702,active_vs_baseline
0.022,0.704,active_vs_baseline
0.022,0.706,active_vs_baseline
0.022,0.708,active_vs_baseline
0.022,0.71,active_vs_baseline
0.022,0.712,active_vs_baseline
0.022,0.714,active_vs_baseline
0.022,0.716,active_vs_baseline
0.022,0.718,active_vs_baseline
0.022,0.72,active_vs_baseline
0.022,0.722,active_vs_baseline
0.022,0.724,active_vs_baseline
0.022,0.726,active_vs_baseline
0.022,0.728,active_vs_baseline
0.022,0.73,active_vs_baseline
0.022,0.732,active_vs_baseline
0.022,0.734,active_vs_baseline
0.022,0.736,active_vs_baseline
0.022,0.738,active_vs_baseline
0.022,0.74,active_vs_baseline
0.022,0.742,active_vs_baseline
0.022,0.744,active_vs_baseline
0.022,0.746,active_vs_baseline
0.022,0.748,active_vs_baseline
0.024,0.748,active_vs_baseline
0.024,0.75,active_vs_baseline
0.024,0.752,active_vs_baseline
0.024,0.754,active_vs_baseline
0.026,0.754,active_vs_baseline
0.026,0.756,active_vs_baseline
0.028,0.756,active_vs_baseline
0.03,0.756,active_vs_baseline
0.03,0.758,active_vs_baseline
0.03,0.76,active_vs_baseline
0.03,0.762,active_vs_baseline
0.03,0.764,active_vs_baseline
0.032,0.764,active_vs_baseline
0.032,0.766,active_vs_baseline
0.032,0.77,active_vs_baseline
0.032,0.772,active_vs_baseline
0.032,0.774,active_vs_baseline
0.032,0.776,active_vs_baseline
0.032,0.778,active_vs_baseline
0.032,0.78,active_vs_baseline
0.032,0.782,active_vs_baseline
0.034,0.782,active_vs_baseline
0.034,0.784,active_vs_baseline
0.034,0.786,active_vs_baseline
0.034,0.788,active_vs_baseline
0.034,0.79,active_vs_baseline
0.034,0.792,active_vs_baseline
0.036,0.792,active_vs_baseline
0.036,0.794,active_vs_baseline
0.036,0.796,active_vs_baseline
0.036,0.798,active_vs_baseline
0.038,0.798,active_vs_baseline
0.038,0.8,active_vs_baseline
0.038,0.802,active_vs_baseline
0.038,0.804,active_vs_baseline
0.038,0.806,active_vs_baseline
0.038,0.808,active_vs_baseline
0.038,0.81,active_vs_baseline
0.038,0.812,active_vs_baseline
0.038,0.814,active_vs_baseline
0.038,0.816,active_vs_baseline
0.038,0.818,active_vs_baseline
0.038,0.82,active_vs_baseline
0.038,0.822,active_vs_baseline
0.038,0.824,active_vs_baseline
0.038,0.826,active_vs_baseline
0.04,0.826,active_vs_baseline
0.042,0.826,active_vs_baseline
0.042,0.828,active_vs_baseline
0.042,0.83,active_vs_baseline
0.044,0.83,active_vs_baseline
0.044,0.832,active_vs_baseline
0.044,0.834,active_vs_baseline
0.044,0.836,active_vs_baseline
0.044,0.838,active_vs_baseline
0.044,0.84,active_vs_baseline
